Code;CatchingArea;NestID;BirdId;Sex;LD;LD_Num;ClutchSize;HatchDate;DayFound;LastActive;LastCheck;ObsDay;Fail;NestSucces;clutchNr;ClutchCertainty;Habitat;year;IC;ChickSucces;ChickSurvival;NrHatchlings;NrFledglings
BRY-OYB4;Schier;2018_F1;7;F;23-4-2018;22;3;22-5-2018;9-5-2018;22-5-2018;22-5-2018;13;0;1;1;1;Cropfield;2018;Mainland;0;5,5;1;0
BLR-OXR6;NA;2018_F1;2;M;23-4-2018;22;3;22-5-2018;9-5-2018;22-5-2018;22-5-2018;13;0;1;1;1;Cropfield;2018;Mainland;0;5,5;1;0
LG-GSOT;Schier;2018_F10;NA;NA;4-5-2018;33;4;3-6-2018;23-5-2018;3-6-2018;3-6-2018;11;0;1;1;1;Grassland;2018;Coastal;0;24,5;3;0
BLB-W2BU;Schier;2018_F11;NA;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Grassland;2018;Coastal;0;NA;NA;NA
BLG-W9R7;Ameland;2018_F12;NA;F;31-5-2018;60;3;27-6-2018;31-5-2018;15-6-2018;18-6-2018;16,5;1;0,94;3;2;Grassland;2018;Coastal;0;0;0;0
GW022B6;Schier;2018_F13;NA;M;12-5-2018;41;3;10-6-2018;13-5-2018;3-6-2018;6-6-2018;22,5;1;0,96;1;1;Grassland;2018;Coastal;0;0;0;0
OB210B2;Schier;2018_F14;NA;M;15-5-2018;44;4;14-6-2018;16-5-2018;25-5-2018;28-5-2018;10,5;1;0,9;1;2;Grassland;2018;Coastal;0;0;0;0
BLG-W9RX;Ameland;2018_F15;NA;M;NA;NA;NA;NA;8-6-2018;15-6-2018;21-6-2018;10;1;0,9;2;2;Nature;2018;Coastal;0;0;0;0
BLY-G9YJ;Terschelling;2018_F16;NA;M;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;Grassland;2018;Coastal;0;NA;0;0
BLG-WPRC;Terschelling;2018_F2;1;F;4-5-2018;33;4;3-6-2018;13-5-2018;13-5-2018;21-5-2018;4;1;0,75;1;2;Grassland;2018;Coastal;0;0;0;0
BRY-OTG9;Schier;2018_F20;NA;F;NA;NA;NA;NA;NA;NA;NA;28;0;1;1;2;Grassland;2018;Coastal;0;NA;NA;0
RW110G5;Schier;2018_F21;NA;F;NA;NA;NA;NA;NA;NA;NA;28;0;1;1;2;Grassland;2018;Coastal;1;35;NA;1
RR-CQLE;Vlieland;2018_F3;11;M;7-5-2018;36;4;6-6-2018;16-5-2018;1-6-2018;2-6-2018;16,5;1;0,94;1;2;Cropfield;2018;Mainland;0;0;0;0
BLR-OXR8;NA;2018_F3;10;F;7-5-2018;36;4;6-6-2018;16-5-2018;1-6-2018;2-6-2018;16,5;1;0,94;1;2;Cropfield;2018;Mainland;0;0;0;0
BLP-R9Y2;Ameland;2018_F4;NA;F;7-5-2018;36;3;5-6-2018;14-5-2018;5-6-2018;5-6-2018;22;0;1;1;2;Grassland;2018;Coastal;0;15;3;0
BLR-OXR7;NA;2018_F4;8;M;7-5-2018;36;3;5-6-2018;14-5-2018;5-6-2018;5-6-2018;22;0;1;1;2;Grassland;2018;Coastal;0;15;3;0
BLG-YAC4;Ameland;2018_F5;9;M;30-4-2018;29;3;30-5-2018;14-5-2018;30-5-2018;30-5-2018;16;0;1;1;2;Nature;2018;Coastal;0;8,5;2;0
BRG-CSO7;Terschelling;2018_F6;NA;M;11-5-2018;40;3;10-6-2018;21-5-2018;10-6-2018;10-6-2018;20;0;1;1;2;Nature;2018;Coastal;0;27;1;0
BLB-W8R6;Schier;2018_F7;NA;F;1-5-2018;30;4;31-5-2018;23-5-2018;31-5-2018;31-5-2018;8;0;1;1;2;Grassland;2018;Coastal;1;39;3;1
OB001B1;NA;2018_F7;NA;M;1-5-2018;30;4;31-5-2018;23-5-2018;31-5-2018;31-5-2018;8;0;1;1;2;Grassland;2018;Coastal;1;39;3;1
BLG-WJGN;Schier;2018_F8;NA;M;2-5-2018;31;3;31-5-2018;23-5-2018;31-5-2018;31-5-2018;8;0;1;1;2;Grassland;2018;Coastal;0;28;2;0
LB-LAGZ;NA;2018_F8;NA;F;2-5-2018;31;3;31-5-2018;23-5-2018;31-5-2018;31-5-2018;8;0;1;1;2;Grassland;2018;Coastal;0;28;2;0
BLG-WJGP;Schier;2018_F9;NA;M;5-5-2018;34;4;4-6-2018;23-5-2018;4-6-2018;4-6-2018;12;0;1;1;2;Grassland;2018;Coastal;1;37;3;1
RR-CELJ;NA;2018_F9;NA;F;5-5-2018;34;4;4-6-2018;23-5-2018;4-6-2018;4-6-2018;12;0;1;1;2;Grassland;2018;Coastal;1;37;3;1
BLR-O8BL;Vlieland;2018_Ger1;NA;M;26-4-2018;25;NA;23-5-2018;NA;NA;NA;28;0;1;1;1;Urban;2018;Mainland;1;35;NA;1
BLP-RSYL;Vlieland;2018_NH1;NA;F;21-4-2018;20;3;20-5-2018;26-4-2018;20-5-2018;20-5-2018;24;0;1;1;1;Cropfield;2018;Mainland;0;6;2;0
BLR-OXR0;NA;2018_NH1;4;M;21-4-2018;20;3;20-5-2018;26-4-2018;20-5-2018;20-5-2018;24;0;1;1;1;Cropfield;2018;Mainland;0;6;2;0
BRR-RYYL;Ameland;2018_NH3;NA;M;13-4-2018;12;3;12-5-2018;26-4-2018;12-5-2018;12-5-2018;16;0;1;1;1;Grassland;2018;Mainland;1;42;1;1
BLP-RSY6;Vlieland;2018_NH4;NA;F;26-4-2018;25;3;25-5-2018;4-5-2018;25-5-2018;25-5-2018;21;0;1;1;1;Urban;2018;Mainland;0;10;3;0
BLR-OXR4;NA;2018_NH4;5;M;26-4-2018;25;3;25-5-2018;4-5-2018;25-5-2018;25-5-2018;21;0;1;1;1;Urban;2018;Mainland;0;10;3;0
LB-YCRC;Balgzand;2018_NH5;NA;F;21-4-2018;20;NA;19-5-2018;17-5-2018;19-5-2018;19-5-2018;2;0;1;NA;NA;Grassland;2018;Mainland;0;28;NA;NA
RY-BBWN;NA;2018_NH5;NA;M;21-4-2018;20;NA;19-5-2018;17-5-2018;19-5-2018;19-5-2018;2;0;1;NA;NA;Grassland;2018;Mainland;0;28;NA;NA
BLP-RSY9;Vlieland;2018_NH6;NA;F;16-4-2018;15;4;16-5-2018;15-5-2018;16-5-2018;16-5-2018;1;0;1;1;1;Grassland;2018;Mainland;0;3;NA;NA
BRG-B8Y8;Vlieland;2018_NH7;NA;F;NA;NA;2;NA;14-5-2018;18-5-2018;25-5-2018;7,5;1;0,87;1;2;Grassland;2018;Coastal;0;0;0;0
BLR-W1R6;Balgzand;2018_NH8;NA;M;14-5-2018;43;2;11-6-2018;22-5-2018;3-6-2018;5-6-2018;13;1;0,92;2;2;Grassland;2018;Mainland;0;0;0;0
BLB-Y5C9;Balgzand;2018_NH9;NA;M;16-4-2018;15;3;15-5-2018;13-5-2018;15-5-2018;15-5-2018;2;0;1;1;1;Nature;2018;Mainland;0;17,5;3;0
RG-CBYC;Terschelling;2018_U1;NA;M;27-4-2018;26;3;26-5-2018;15-5-2018;26-5-2018;26-5-2018;11;0;1;1;2;Urban;2018;Mainland;1;30;3;2
LG-YKBK;NA;2018_U1;6;M;27-4-2018;26;3;26-5-2018;15-5-2018;26-5-2018;26-5-2018;11;0;1;1;2;Urban;2018;Mainland;1;30;3;2
BRG-BPYS;NA;2018_Z1;NA;M;19-4-2018;18;4;19-5-2018;30-4-2018;19-5-2018;19-5-2018;19;0;1;1;1;Grassland;2018;Mainland;1;29;4;1
RB-WCCK;NA;2018_Z1;3;F;19-4-2018;18;4;19-5-2018;30-4-2018;19-5-2018;19-5-2018;19;0;1;1;1;Grassland;2018;Mainland;1;29;4;1
BLR-O3G5;Delta;2018_Z11;NA;F;23-5-2018;52;2;20-6-2018;5-6-2018;5-6-2018;11-6-2018;3;1;0,67;2;2;Cropfield;2018;Mainland;0;0;0;0
BRG-BPYY;Delta;2018_Z14;NA;M;9-6-2018;69;3;8-7-2018;11-6-2018;6-7-2018;6-7-2018;25;1;0,96;2;1;Cropfield;2018;Mainland;0;NA;0;0
BLR-O3G1;Delta;2018_Z15;NA;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cropfield;2018;Mainland;0;NA;NA;NA
BLB-WUB9;Delta;2018_Z16;NA;M;27-4-2018;26;2;25-5-2018;24-5-2018;25-5-2018;25-5-2018;1;0;1;1;NA;Nature;2018;Mainland;1;40;NA;1
BLB-WAG2;Delta;2018_Z17;NA;M;NA;NA;4;NA;11-6-2018;11-6-2018;21-6-2018;5;1;0,8;2;2;Nature;2018;Mainland;0;0;0;0
BLB-OXG3;Delta;2018_Z18;NA;M;15-5-2018;44;NA;12-6-2018;11-6-2018;12-6-2018;12-6-2018;1;0;1;NA;NA;Cropfield;2018;Mainland;0;12,5;NA;NA
RB-LHBS;Delta;2018_Z3;NA;M;NA;NA;2;NA;23-5-2018;23-5-2018;29-5-2018;3;1;0,67;1;2;Urban;2018;Mainland;0;0;0;0
BLR-O3G6;Delta;2018_Z5;NA;F;17-5-2018;46;3;15-6-2018;19-5-2018;15-6-2018;15-6-2018;27;0;1;2;2;Cropfield;2018;Mainland;0;3;3;0
BLR-YTCC;Delta;2018_ZH1;NA;M;2-5-2018;31;4;1-6-2018;16-5-2018;1-6-2018;1-6-2018;16;0;1;1;2;Dune;2018;Mainland;0;19;NA;NA
RG-RPOK;Delta;2018_ZH2;NA;M;NA;NA;3;NA;NA;NA;NA;28;0;1;1;2;Urban;2018;Mainland;1;30;NA;1
RY-GKWC;Delta;2018_ZH3;NA;F;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;2;Urban;2018;Mainland;0;NA;NA;0
BRR-B2YP;Vlieland;2018_ZH4;NA;F;9-5-2018;38;3;7-6-2018;6-6-2018;7-6-2018;7-6-2018;1;0;1;1;2;Grassland;2018;Mainland;0;14;NA;0
BLR-O8RL;Delta;2018_ZH5;NA;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Urban;2018;Mainland;0;NA;NA;NA
BLR-W1R8;Balgzand;2018_ZH6;NA;M;23-4-2018;22;NA;21-5-2018;20-5-2018;21-5-2018;21-5-2018;1;0;1;1;NA;Urban;2018;Mainland;0;23;NA;NA
BRR-RYYA;Delta;2018_ZH7;NA;F;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Urban;2018;Mainland;0;NA;NA;NA
