SexN;AgeN;MS;LogitH;LogitB;TA;TH;WL;BH;HT;DS;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T33;T34;T35;T36;T37;T38;T39;T40
1;1;583;-0,426040506;-5,273853895;95;126,6999969;255;4,199999809;0,098611111;98;0;0;0;0;0;5;0;0;5;5;0;0;0;0;0;0;0;0
1;4;578;-0,332824238;-5,440405794;100;127,5999985;265;4,699999809;0,079861111;98;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
2;4;590;-0,255536273;-5,286076081;101;128,1000061;263;4,900000095;0,102777778;98;0;0;0;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0
1;4;597;-0,319522678;-5,627449808;93;127,3000031;269;4,699999809;0,129166667;98;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
1;4;547;-0,156067675;-5,078138167;98;128,6000061;263;4,5;0,123611111;98;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
1;4;517;-0,317680834;-5,11559573;89;116,1999969;252;4,400000095;0,121527778;98;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
1;4;541;-0,357441913;-4,993404356;97;126,5;268;5,099999905;0,132638889;98;0;0;0;0;0;5;0;5;10;0;0;0;0;0;0;0;0;0
2;4;537;-0,265351533;-5,183079167;99;115,0999985;263;5,300000191;0,134027778;98;0;0;0;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0
2;4;537;-0,447390935;-4,678515155;88;118,0999985;253;4,800000191;0,1125;98;0;0;0;0;0;5;0;5;5;0;0;0;0;0;0;0;0;0
2;4;490;-0,598410029;-5,173950202;94;110,4000015;258;4,900000095;0,115972222;98;0;0;0;0;0;5;10;0;0;0;0;0;0;0;0;0;0;0
1;4;592;-0,084787507;-4,54976497;97;123,0999985;267;4,800000191;0,111111111;98;0;0;0;0;0;5;4;0;4;0;0;0;0;0;0;0;0;0
1;4;596;-0,32237766;-4,896719769;99;129,5;270;4,099999905;0,109027778;98;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
1;4;695;-0,266483914;-5,37923881;104;129,3999939;273;4,400000095;0,10625;98;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0
1;4;505;-0,29182542;-5,208726909;98;127,5999985;264;4,300000191;0,104166667;98;0;0;0;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0
1;4;565;-0,400462211;-5,246869261;95;130,3999939;276;4,400000095;0,119444444;98;0;0;0;0;0;5;0;0;0;0;0;5;0;5;0;5;0;0
2;4;505;-0,434110706;-5,434968887;92;114,6999969;262;5,699999809;0,147222222;98;0;0;0;0;0;5;0;5;5;0;0;0;0;0;0;0;0;0
1;1;542;-0,708455462;-4,660670138;96;126,1999969;265;3,900000095;0,159722222;98;0;0;0;0;0;5;0;5;5;0;0;0;0;0;0;0;0;0
1;4;544;-0,397044777;-5,326698659;99;127,8000031;280;4,199999809;0,158333333;98;0;0;0;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0
2;4;547;-0,159761917;-5,332532971;92;115,8000031;259;4,599999905;0,154861111;98;0;0;0;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0
1;4;570;-0,187430921;-4,959769807;98;127,5;267;4,199999809;0,152777778;98;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
1;4;639;-0,284680393;-4,896468163;102;129,5;273;4,800000191;0,13125;98;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
2;4;550;-0,44455596;-5,384647957;93;115,6999969;259;5,199999809;0,1625;98;0;0;0;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0
1;4;530;-0,63386675;-4,914404056;97;121,5;263;5,599999905;0,14375;98;0;0;0;0;0;5;0;5;5;0;0;0;0;0;0;0;0;0
2;4;534;-0,624675788;-4,693438083;97;114,5999985;253;5,300000191;0,142361111;98;0;0;0;0;0;5;0;4;0;0;0;0;0;0;0;0;0;0
1;1;638;-0,32230349;-5,381706119;98;122,4000015;265;4,300000191;0,140277778;98;0;0;0;0;0;5;0;0;5;0;0;0;0;0;0;0;0;0
2;1;541;-0,247260369;-5,0286538;95;114,9000015;260;6;0,138888889;98;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
2;4;528;-0,338506018;-5,146476518;94;114,3000031;266;6,199999809;0,136111111;98;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
2;2;604;-0,323196924;-5,486129774;93;114,4000015;267;4,900000095;0,097222222;111;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
2;4;702;-0,218605783;-5,06987132;99;123,8000031;270;5,5;0,072916667;111;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
2;4;639;-0,316608623;-5,244615159;98;117,5999985;267;5,5;0,13125;111;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
2;4;612;-0,172930791;-5,251225759;99;117;264;5,300000191;0,127083333;111;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
1;1;614;-0,104943495;-5,455473729;96;122;264;3,799999952;0,124305556;111;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
2;4;580;-0,272272343;-5,374352052;101;120;268;5,599999905;0,122916667;111;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
1;1;699;-0,091374274;-5,262690188;96;126;264;4,5;0,113194444;111;0;0;0;0;0;5;0;5;2;5;0;0;0;0;0;0;0;0
