"","Mean","Median","St.Dev.","95%CI_low","95%CI_upp"
"eta1[170]",-0.67,-0.68,0.38,-1.46,0.08
"eta1[171]",0.94,0.93,0.4,0.14,1.77
"eta1[172]",0.69,0.68,0.16,0.41,1.03
"eta1[173]",-1.25,-1.25,0.11,-1.47,-1.01
"eta1[174]",-0.51,-0.54,0.53,-1.51,0.61
"eta1[175]",-1.61,-1.59,0.4,-2.45,-0.83
"eta1[176]",0.87,0.86,0.33,0.22,1.55
"eta1[177]",0.6,0.58,0.47,-0.32,1.58
"eta1[178]",-0.05,-0.07,0.48,-0.99,0.96
"eta1[179]",0.22,0.23,0.22,-0.26,0.61
"eta1[180]",2.11,2.09,0.5,1.14,3.17
"eta1[181]",0.54,0.53,0.17,0.24,0.92
"eta1[182]",-0.85,-0.86,0.41,-1.66,-0.02
"eta1[183]",-0.71,-0.7,0.39,-1.53,0.04
"eta1[184]",-1.16,-1.13,0.38,-1.98,-0.5
"eta1[185]",0.12,0.11,0.39,-0.65,0.94
"eta1[186]",1.24,1.25,0.07,1.1,1.38
"eta1[187]",0.58,0.57,0.52,-0.44,1.67
"eta1[188]",-1.77,-1.73,0.58,-3.03,-0.77
"eta1[189]",2.8,2.78,0.55,1.72,3.95
"eta1[190]",0.64,0.63,0.22,0.24,1.1
"eta1[191]",0.68,0.69,0.25,0.14,1.18
"eta1[192]",2.32,2.3,0.58,1.21,3.55
"eta1[193]",0.64,0.63,0.49,-0.33,1.68
"eta1[194]",-0.34,-0.36,0.25,-0.81,0.19
"eta1[195]",0.84,0.83,0.29,0.25,1.46
"eta1[196]",0.47,0.46,0.45,-0.43,1.42
"eta1[197]",0.38,0.37,0.4,-0.4,1.22
"eta1[198]",-0.81,-0.81,0.15,-1.11,-0.49
"eta1[199]",-0.66,-0.66,0.14,-0.93,-0.36
"eta1[200]",-0.61,-0.62,0.29,-1.17,0.01
"eta1[201]",-0.81,-0.82,0.18,-1.14,-0.43
"eta1[202]",0.49,0.48,0.24,0.01,1
"eta1[203]",-0.05,-0.06,0.28,-0.61,0.54
"eta1[204]",0.96,0.94,0.56,-0.12,2.15
"eta1[205]",-0.9,-0.87,0.36,-1.68,-0.26
"eta1[206]",-0.54,-0.58,0.86,-2.12,1.35
"eta1[207]",1.29,1.26,0.68,-0.03,2.73
"eta1[208]",0.65,0.64,0.38,-0.1,1.45
"eta1[209]",-0.41,-0.41,0.31,-1.01,0.25
"eta1[210]",-1.52,-1.54,0.31,-2.07,-0.83
"eta1[211]",0.11,0.1,0.23,-0.35,0.61
"eta1[212]",-1.63,-1.64,0.1,-1.83,-1.42
"eta1[213]",-3.17,-3.16,0.3,-3.81,-2.57
"eta1[214]",-4.15,-4.13,0.26,-4.72,-3.69
"eta1[215]",0.25,0.26,0.24,-0.27,0.69
"eta1[216]",-0.59,-0.6,0.34,-1.27,0.12
"eta1[217]",-2.2,-2.19,0.24,-2.7,-1.73
"eta1[218]",1.59,1.6,0.19,1.19,1.97
"eta1[219]",-1.4,-1.43,0.96,-3.24,0.64
"eta1[220]",0.34,0.32,0.59,-0.82,1.61
"eta1[221]",0.31,0.32,0.66,-0.99,1.65
"eta1[222]",-0.48,-0.5,0.58,-1.6,0.74
"eta1[223]",-0.73,-0.74,0.26,-1.24,-0.19
"eta1[224]",0.35,0.34,0.46,-0.55,1.34
"eta1[225]",-0.01,-0.02,0.27,-0.54,0.55
"eta1[226]",-1.06,-1.06,0.23,-1.52,-0.57
"eta1[227]",-1.34,-1.34,0.23,-1.8,-0.89
"eta1[228]",0.76,0.73,0.55,-0.32,1.92
"eta1[229]",-0.2,-0.21,0.14,-0.47,0.09
"eta1[230]",-1.4,-1.41,0.22,-1.81,-0.93
"eta1[231]",-2.99,-2.98,0.29,-3.6,-2.43
"eta1[232]",-1.83,-1.84,0.18,-2.17,-1.45
"eta1[233]",-0.03,-0.04,0.32,-0.65,0.64
"eta1[234]",1.67,1.66,0.3,1.08,2.31
"eta1[235]",1.02,1,0.4,0.27,1.87
"eta1[236]",1.63,1.62,0.18,1.29,2.01
"eta1[237]",3.01,2.99,0.52,2,4.12
"eta1[238]",2.09,2.09,0.17,1.76,2.45
"eta1[239]",-1.16,-1.15,0.21,-1.61,-0.76
"eta1[240]",2.61,2.59,0.54,1.53,3.74
"eta1[241]",1.8,1.79,0.56,0.71,3
"eta1[242]",-0.51,-0.51,0.25,-1,0.01
"eta1[243]",0.66,0.67,0.27,0.12,1.21
"eta1[244]",-0.47,-0.46,0.1,-0.68,-0.3
"eta1[245]",0.97,0.97,0.04,0.89,1.04
"eta1[246]",1.39,1.38,0.4,0.64,2.24
"eta1[247]",1.09,1.08,0.41,0.28,1.95
"eta1[248]",0.82,0.8,0.31,0.28,1.5
"eta1[249]",-0.18,-0.15,0.55,-1.38,0.77
"eta1[250]",2.65,2.63,0.59,1.47,3.91
"eta1[251]",0.75,0.75,0.36,0.04,1.51
"eta1[252]",3.56,3.49,1.08,1.47,5.85
"eta1[253]",0.82,0.82,0.32,0.2,1.49
"eta1[254]",0.83,0.83,0.09,0.64,1.02
"eta1[255]",3.26,3.23,0.68,1.95,4.7
"eta1[256]",-0.84,-0.84,0.17,-1.2,-0.5
"eta1[257]",1.08,1.05,0.68,-0.27,2.5
"eta1[258]",-0.17,-0.18,0.19,-0.55,0.24
"eta1[259]",2.15,2.13,0.42,1.34,3.04
"eta1[260]",-0.76,-0.76,0.13,-1.04,-0.5
"eta1[261]",1.65,1.62,0.59,0.49,2.89
"eta1[262]",1.7,1.69,0.36,1,2.48
"eta1[263]",0.57,0.56,0.29,-0.01,1.18
"eta1[264]",1.28,1.31,0.35,0.53,1.88
"eta1[265]",-1.32,-1.32,0.15,-1.64,-1.02
"eta1[266]",0.65,0.63,0.35,0.05,1.41
"eta1[267]",-0.98,-0.97,0.31,-1.63,-0.37
"eta1[268]",0.32,0.32,0.01,0.29,0.34
"eta1[269]",-0.77,-0.77,0.37,-1.48,0
"eta1[270]",0.68,0.66,0.37,-0.03,1.46
"eta1[271]",-2.47,-2.44,0.43,-3.38,-1.68
"eta1[272]",1.92,1.9,0.32,1.35,2.6
"eta1[273]",2.17,2.14,0.81,0.6,3.89
"eta1[274]",0.05,0.04,0.15,-0.24,0.35
"eta1[275]",0.96,0.94,0.45,0.09,1.91
"eta1[276]",-0.59,-0.57,0.45,-1.5,0.32
"eta1[277]",0.55,0.53,0.25,0.07,1.09
"eta1[278]",-0.13,-0.11,0.25,-0.65,0.33
"eta1[279]",1.65,1.62,0.82,0.07,3.41
"eta1[280]",0.35,0.33,0.54,-0.68,1.49
"eta1[281]",-3.53,-3.51,0.28,-4.13,-3.04
"eta1[282]",1.28,1.29,0.27,0.7,1.77
"eta1[283]",-0.16,-0.17,0.42,-0.99,0.73
"eta1[284]",0.07,0.06,0.25,-0.4,0.6
"eta1[285]",-0.84,-0.83,0.13,-1.12,-0.62
"eta1[286]",-0.11,-0.12,0.33,-0.77,0.57
"eta1[287]",0.94,0.94,0.07,0.8,1.09
"eta1[288]",0.58,0.57,0.32,-0.05,1.26
"eta1[289]",0.06,0.07,0.06,-0.06,0.17
"eta1[290]",-1.26,-1.26,0.1,-1.47,-1.07
"eta1[291]",0.6,0.58,0.49,-0.34,1.64
"eta1[292]",0.1,0.09,0.25,-0.37,0.65
"eta1[293]",0.2,0.2,0.12,-0.04,0.44
"eta1[294]",-1.27,-1.25,0.19,-1.68,-0.93
"eta1[295]",0.19,0.2,0.33,-0.45,0.87
"eta1[296]",1.17,1.16,0.09,1,1.37
"eta1[297]",0.39,0.38,0.06,0.28,0.51
