"","Mean","Median","St.Dev.","95%CI_low","95%CI_upp"
"mu1[96]",-0.38,-0.38,0.1,-0.57,-0.18
"mu1[97]",0,0,0.11,-0.2,0.21
"mu1[98]",-0.23,-0.23,0.05,-0.34,-0.12
"mu1[99]",-0.41,-0.41,0.08,-0.57,-0.24
"mu1[100]",-0.21,-0.21,0.1,-0.39,-0.01
"mu1[101]",-0.21,-0.21,0.06,-0.31,-0.1
"mu1[102]",-0.03,-0.03,0.05,-0.12,0.06
"mu1[103]",-0.79,-0.79,0.08,-0.94,-0.65
"mu1[104]",-0.67,-0.68,0.11,-0.89,-0.46
"mu1[105]",-0.44,-0.44,0.07,-0.58,-0.3
"mu1[106]",-0.74,-0.75,0.09,-0.91,-0.58
"mu1[107]",-0.32,-0.32,0.06,-0.44,-0.2
"mu1[108]",0.11,0.11,0.07,-0.02,0.24
"mu1[109]",0.13,0.13,0.06,0.02,0.24
"mu1[110]",-0.67,-0.67,0.07,-0.81,-0.54
"mu1[111]",-0.32,-0.33,0.07,-0.47,-0.17
"mu1[112]",0.38,0.38,0.07,0.25,0.5
"mu1[113]",0.32,0.32,0.08,0.16,0.48
"mu1[114]",0.41,0.41,0.08,0.26,0.56
"mu1[115]",-0.45,-0.45,0.08,-0.61,-0.29
"mu1[116]",0.37,0.37,0.07,0.23,0.51
"mu1[117]",0.86,0.86,0.07,0.73,0.99
"mu1[118]",-1.08,-1.08,0.07,-1.21,-0.95
"mu1[119]",-1.58,-1.58,0.09,-1.76,-1.42
"mu1[120]",-1.19,-1.19,0.09,-1.37,-1.02
"mu1[121]",0.39,0.39,0.04,0.31,0.48
"mu1[122]",0.02,0.02,0.04,-0.06,0.1
"mu1[123]",-0.21,-0.21,0.04,-0.28,-0.13
"mu1[124]",0.17,0.17,0.04,0.09,0.25
"mu1[125]",0.45,0.45,0.07,0.32,0.58
"mu1[126]",-0.11,-0.11,0.07,-0.24,0.02
"mu1[127]",0.61,0.61,0.05,0.52,0.71
"mu1[128]",1.01,1.01,0.07,0.88,1.15
"mu1[129]",0.14,0.14,0.05,0.05,0.24
"mu1[130]",0.01,0.01,0.04,-0.08,0.09
"mu1[131]",0.44,0.44,0.08,0.29,0.6
"mu1[132]",0.11,0.11,0.04,0.03,0.19
"mu1[133]",0.29,0.29,0.04,0.22,0.37
"mu1[134]",0.55,0.55,0.05,0.44,0.65
"mu1[135]",0.2,0.2,0.04,0.12,0.29
"mu1[136]",-0.22,-0.22,0.07,-0.36,-0.08
"mu1[137]",-0.4,-0.39,0.06,-0.51,-0.29
"mu1[138]",0.32,0.32,0.08,0.17,0.48
"mu1[139]",-0.87,-0.87,0.07,-1,-0.74
"mu1[140]",-0.1,-0.1,0.04,-0.17,-0.02
"mu1[141]",-0.09,-0.1,0.04,-0.17,-0.02
"mu1[142]",-0.9,-0.9,0.07,-1.04,-0.76
"mu1[143]",0.38,0.38,0.05,0.28,0.48
"mu1[144]",0.7,0.7,0.05,0.6,0.8
"mu1[145]",-0.49,-0.49,0.07,-0.62,-0.36
"mu1[146]",-0.31,-0.31,0.06,-0.43,-0.2
"mu1[147]",0.32,0.32,0.03,0.26,0.38
"mu1[148]",-0.55,-0.55,0.04,-0.64,-0.46
"mu1[149]",0.15,0.15,0.07,0.01,0.28
"mu1[150]",-1.08,-1.08,0.06,-1.21,-0.96
"mu1[151]",-0.61,-0.61,0.09,-0.79,-0.44
"mu1[152]",-0.58,-0.58,0.07,-0.72,-0.44
"mu1[153]",0.11,0.11,0.06,-0.01,0.23
"mu1[154]",0,0,0.04,-0.08,0.08
"mu1[155]",0.87,0.87,0.04,0.78,0.95
"mu1[156]",0.49,0.49,0.04,0.41,0.58
"mu1[157]",-0.61,-0.61,0.07,-0.74,-0.48
"mu1[158]",-0.6,-0.6,0.06,-0.72,-0.49
"mu1[159]",-0.43,-0.43,0.09,-0.62,-0.25
"mu1[160]",-0.19,-0.18,0.07,-0.33,-0.05
"mu1[161]",0.32,0.32,0.1,0.13,0.5
"mu1[162]",-0.38,-0.38,0.04,-0.47,-0.29
"mu1[163]",-0.75,-0.75,0.08,-0.9,-0.6
"mu1[164]",-0.01,-0.01,0.06,-0.14,0.11
"mu1[165]",-0.19,-0.19,0.08,-0.34,-0.04
"mu1[166]",0.21,0.21,0.09,0.04,0.39
"mu1[167]",-0.54,-0.54,0.04,-0.62,-0.46
"mu1[168]",-1.89,-1.89,0.09,-2.07,-1.71
"mu1[169]",-0.12,-0.12,0.05,-0.22,-0.03
"mu1[170]",-0.72,-0.72,0.05,-0.82,-0.61
"mu1[171]",-0.26,-0.26,0.03,-0.32,-0.19
"mu1[172]",-0.29,-0.29,0.04,-0.37,-0.22
"mu1[173]",-0.14,-0.14,0.04,-0.22,-0.06
"mu1[174]",0.16,0.16,0.06,0.05,0.27
"mu1[175]",-0.07,-0.07,0.04,-0.15,0.02
"mu1[176]",-0.11,-0.11,0.06,-0.22,0
"mu1[177]",0.12,0.12,0.03,0.06,0.19
"mu1[178]",0.33,0.33,0.06,0.21,0.45
"mu1[179]",-0.03,-0.03,0.04,-0.1,0.04
"mu1[180]",-0.93,-0.93,0.08,-1.09,-0.77
"mu1[181]",-0.56,-0.56,0.06,-0.68,-0.44
"mu1[182]",0.56,0.56,0.08,0.41,0.71
"mu1[183]",0.61,0.61,0.05,0.52,0.71
"mu1[184]",0.32,0.32,0.04,0.24,0.4
"mu1[185]",0.87,0.87,0.06,0.74,0.99
"mu1[186]",-0.25,-0.25,0.08,-0.41,-0.09
"mu1[187]",0.43,0.43,0.04,0.35,0.52
"mu1[188]",0.6,0.6,0.05,0.5,0.7
"mu1[189]",-0.28,-0.28,0.05,-0.39,-0.18
"mu1[190]",-0.18,-0.18,0.06,-0.3,-0.06
"mu1[191]",0.2,0.2,0.05,0.1,0.3
"mu1[192]",-1.15,-1.15,0.07,-1.29,-1.01
"mu1[193]",0.47,0.47,0.06,0.35,0.58
"mu1[194]",0.17,0.17,0.06,0.05,0.29
"mu1[195]",0.01,0.01,0.05,-0.08,0.11
"mu1[196]",0.58,0.58,0.06,0.46,0.71
"mu1[197]",0.17,0.17,0.04,0.09,0.26
"mu1[198]",-0.03,-0.03,0.05,-0.14,0.07
"mu1[199]",0.77,0.77,0.06,0.64,0.9
"mu1[200]",0.31,0.31,0.06,0.2,0.43
"mu1[201]",0.71,0.71,0.08,0.57,0.87
