"","x"
"93",-1.87325293772552
"94",-1.33240078727913
"95",-1.43706986903045
"96",-1.65673693630566
"97",-1.25988225957505
"98",-1.17548534314277
"99",-1.4774306267803
"100",-0.846972779842523
"101",-1.45526095927617
"102",-1.25626388870283
"103",-0.991013648101367
"104",-1.66422985134871
"105",-1.88787913926382
"106",-1.40627746253993
"107",-1.04559224131828
"108",-1.25579255623883
"109",-1.65130268028559
"110",-1.86375644386717
"111",-1.57050318833402
"112",-1.81357520485342
"113",-1.20017250796128
"114",-2.0189739799736
"115",-2.14146772886079
"116",-2.21288485723399
"117",-2.60676844293073
"118",-2.50230187196174
"119",-2.79263447299839
"120",-1.73797511515635
"121",-1.02979469184649
"122",-1.56974664261872
"123",-2.24496971341403
"124",-0.972799767895767
"125",-1.30321347704506
"126",-1.03317434760034
"127",-1.04508152188731
"128",-0.79287433204925
"129",-0.739359521493194
"130",-2.13845540083524
"131",-0.987050392361895
"132",-1.34109262534928
"133",-1.3154390584363
"134",-0.665986398915986
"135",-0.692505860632076
"136",-0.987111726322872
"137",-1.04635475014574
"138",-1.4343052109263
"139",-1.13414333278588
"140",-1.09876067280571
"141",-0.764761621840372
"142",-0.769753978713996
"143",-0.85789331016629
"144",-1.2719795092142
"145",-0.718740052385027
"146",-0.46915508503753
"147",-0.693907173251349
"148",-0.987882795992167
"149",-1.32381833660902
"150",-1.13354394155646
"151",-1.09636676237074
"152",-0.869721293492042
"153",-1.49982847205789
"154",-1.50588057291898
"155",-1.14697145845322
"156",-1.7110172126029
"157",-1.91864346883705
"158",-1.16309114053556
"159",-1.02436767000835
"160",-1.0794943579775
"161",-1.72514739120179
"162",-1.18163301774217
"163",-2.06430325981917
"164",-1.55058549714238
"165",-1.73607884246126
"166",-1.24474841052253
"167",-1.3025361275194
"168",-1.29294223973211
"169",-1.17583735820501
"170",-1.20346972735047
"171",-1.57192137424828
"172",-2.12001596366497
"173",-1.77479509952055
"174",-1.53393879807727
"175",-1.81978043577769
"176",-1.49314178438555
"177",-1.77650640233608
"178",-1.20719113260507
"179",-1.36154977920787
"180",-0.973679837018849
"181",-1.12281776434916
"182",-1.3978365785227
"183",-1.54069579050805
"184",-1.22676533897185
"185",-0.896458154275432
"186",-1.29185742468459
"187",-0.981336294011996
"188",-1.3061987657015
"189",-1.02025527756344
"190",-0.907914414968789
"191",-1.15797480556545
"192",-1.04922376131703
"193",-0.883480701895723
"194",-1.00885477350252
"195",-1.46960432256813
"196",-1.16006991192154
"197",-1.6597244280796
"198",-1.08216653401734
"199",-1.32118943116126
"200",-1.31013216967449
"201",-1.9416240339681
"202",-1.55526915996413
"203",-1.21925560141043
"204",-1.11507641382192
"205",-0.884231370531247
"206",-1.14611292569989
"207",-1.20520609730887
"208",-1.18923456715709
"209",-0.886023809104311
"210",-1.21048346895843
"211",-1.05144292788328
"212",-1.58648288289979
"213",-1.55164072448958
"214",-1.29096501699184
"215",-1.23455099505901
"216",-1.15743646249673
"217",-1.24460261924989
"218",-1.09913456162696
"219",-0.468347577846325
"220",-1.12144483229479
"221",-1.02028852917276
"222",-1.13857038322612
"223",-0.904633076174459
"224",-0.933406227500188
"225",-0.700700285159579
"226",-1.16054418765759
"227",-0.753296903438073
"228",-1.3715019264727
"229",-1.15276372791902
"230",-1.38000044236585
"231",-1.19146509841723
"232",-1.12530032581263
"233",-1.22075160067348
"234",-1.72471729200638
"235",-0.911092340493793
"236",-1.64378945688145
"237",-1.27279942953631
"238",-1.11574686796212
"239",-0.619545749513999
"240",-1.31012885476848
"241",-1.5816675134213
"242",-1.86369156188614
"243",-1.38674612780042
"244",-1.56622646604124
"245",-1.06288373364157
"246",-0.867178508568053
"247",-0.537540502795554
"248",-0.59722721622107
"249",-0.773665630881204
"250",-1.16135780160077
"251",-2.08395812772768
"252",-0.74470870559903
"253",-0.714282615993271
"254",-1.78972745832776
"255",-1.4677434121826
"256",-1.86209853968996
"257",-0.650899144744176
"258",-0.856462075022627
"259",-1.45789253680227
"260",-1.15493816530965
"261",-0.738268256070556
"262",-0.199264870476331
"263",-0.557882322016783
"264",-1.35979686915094
"265",-0.38407071681322
"266",-1.13686100552833
"267",-0.947667428615363
"268",-0.877506991722837
