"","Mean","Median","St.Dev.","95%CI_low","95%CI_upp"
"eta1[362]",-0.63,-0.6,0.52,-1.74,0.35
"eta1[363]",0.4,0.41,0.4,-0.42,1.17
"eta1[364]",-3.13,-3.07,0.96,-5.19,-1.34
"eta1[365]",-1.02,-1.01,0.18,-1.36,-0.68
"eta1[366]",-1.53,-1.51,0.41,-2.38,-0.8
"eta1[367]",0.23,0.27,0.74,-1.36,1.63
"eta1[368]",-0.41,-0.4,0.26,-0.92,0.09
"eta1[369]",-0.04,-0.02,0.68,-1.43,1.3
"eta1[370]",-1.46,-1.43,1.11,-3.78,0.67
"eta1[371]",3.06,3.04,0.2,2.7,3.48
"eta1[372]",0.42,0.41,0.7,-0.91,1.78
"eta1[373]",4.24,4.15,1.37,1.69,7.16
"eta1[374]",1.57,1.5,1.12,-0.53,4
"eta1[375]",-1.19,-1.16,0.91,-3.06,0.58
"eta1[376]",-1.94,-1.9,0.41,-2.81,-1.19
"eta1[377]",0.99,0.98,0.21,0.61,1.44
"eta1[378]",-0.75,-0.75,0.65,-2.08,0.51
"eta1[379]",1.01,1.01,0.28,0.49,1.59
"eta1[380]",-0.71,-0.71,0.2,-1.09,-0.32
"eta1[381]",-0.76,-0.73,0.39,-1.61,-0.02
"eta1[382]",1.67,1.67,0.74,0.27,3.13
"eta1[383]",-0.33,-0.33,0.25,-0.82,0.14
"eta1[384]",1.52,1.49,0.69,0.29,2.96
"eta1[385]",2.77,2.73,0.59,1.72,4.03
"eta1[386]",0.78,0.78,0.56,-0.28,1.87
"eta1[387]",-1.44,-1.4,0.76,-3.07,-0.05
"eta1[388]",0.71,0.71,0.1,0.5,0.9
"eta1[389]",0.52,0.52,0.72,-0.84,1.95
"eta1[390]",-0.62,-0.59,0.36,-1.39,0.03
"eta1[391]",2.62,2.58,0.67,1.42,4.06
"eta1[392]",-1.13,-1.11,0.61,-2.43,0.04
"eta1[393]",2.54,2.5,0.7,1.31,4.01
"eta1[394]",-0.79,-0.79,0.07,-0.94,-0.66
"eta1[395]",-1.1,-1.08,0.35,-1.85,-0.44
"eta1[396]",1.36,1.35,0.54,0.35,2.42
"eta1[397]",0.98,0.95,0.45,0.18,1.93
"eta1[398]",-0.72,-0.68,0.94,-2.66,1.12
"eta1[399]",-0.39,-0.38,0.49,-1.36,0.55
"eta1[400]",0,0.02,0.46,-0.94,0.91
"eta1[401]",1.76,1.71,0.58,0.71,3
"eta1[402]",0.37,0.37,0.09,0.18,0.55
"eta1[403]",3.04,3,0.88,1.5,4.87
"eta1[404]",4,3.91,1.14,1.94,6.45
"eta1[405]",0.67,0.65,0.3,0.15,1.31
"eta1[406]",-5.04,-4.93,1.84,-8.97,-1.58
"eta1[407]",-1.52,-1.5,0.83,-3.23,0.11
"eta1[408]",0.38,0.38,0.51,-0.58,1.38
"eta1[409]",1.74,1.72,0.2,1.38,2.17
"eta1[410]",1.28,1.27,0.23,0.86,1.78
"eta1[411]",-0.61,-0.6,1.12,-2.87,1.55
"eta1[412]",3.78,3.71,0.82,2.31,5.56
"eta1[413]",1.8,1.75,0.57,0.78,3.05
"eta1[414]",-3.26,-3.22,0.54,-4.41,-2.25
"eta1[415]",2.46,2.45,0.9,0.8,4.23
"eta1[416]",0.61,0.59,0.5,-0.27,1.66
"eta1[417]",1.14,1.12,0.67,-0.06,2.5
"eta1[418]",-0.32,-0.31,0.64,-1.56,0.93
"eta1[419]",1.18,1.18,0.84,-0.41,2.84
"eta1[420]",-2.35,-2.33,0.79,-4.08,-0.87
"eta1[421]",1.58,1.56,0.3,1.04,2.24
"eta1[422]",0.67,0.67,0.19,0.3,1.08
"eta1[423]",2.5,2.47,0.27,2.01,3.08
"eta1[424]",2.44,2.41,0.47,1.62,3.44
"eta1[425]",-0.51,-0.5,0.46,-1.43,0.38
"eta1[426]",1.29,1.29,0.43,0.48,2.16
"eta1[427]",0.25,0.24,0.68,-1.06,1.59
"eta1[428]",-2.06,-2.02,0.81,-3.79,-0.57
"eta1[429]",0.26,0.22,0.5,-0.63,1.35
"eta1[430]",0.01,0,0.27,-0.51,0.54
